id_number,measurements
CMNMA 15143,Tail: 108 mm;  Hind foot: 48 mm
CMNMA 15147,Tail: 108 mm;  Hind foot: 49 mm
CMNMA 15148,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 15162,Tail: 125 mm;  Hind foot: 51 mm
CMNMA 15174,Tail: 129 mm;  Hind foot: 50 mm
CMNMA 15175,Tail: 133 mm;  Hind foot: 50 mm
CMNMA 15176,Tail: 130 mm;  Hind foot: 49 mm
CMNMA 15179,Tail: 125 mm;  Hind foot: 47 mm
CMNMA 15203,Tail: 126 mm;  Hind foot: 50 mm
CMNMA 15215,Tail: 116 mm;  Hind foot: 48 mm
CMNMA 15216,Tail: 114 mm;  Hind foot: 48 mm
CMNMA 15220,Tail: 115 mm;  Hind foot: 49 mm
CMNMA 15221,Tail: 110 mm;  Hind foot: 46 mm
CMNMA 15235,Tail: 85 mm;  Hind foot: 50 mm
CMNMA 15237,Tail: 86 mm;  Hind foot: 50 mm;  Other meas: length of foetuses: 20 mm
CMNMA 15238,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 15247,Tail: 115 mm;  Hind foot: 49 mm;  Other meas: length of foetuses: 15 mm
CMNMA 15248,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 15254,Tail: 108 mm;  Hind foot: 49 mm
CMNMA 15264,Tail: 108 mm;  Hind foot: 49 mm
CMNMA 15270,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 15272,Tail: 129 mm;  Hind foot: 49 mm
CMNMA 15275,Tail: 80 mm;  Hind foot: 49 mm
CMNMA 15276,Tail: 120 mm;  Hind foot: 47 mm
CMNMA 15278,Tail: 115 mm;  Hind foot: 48 mm
