speckey,Scientific Name,Parent,Level Name,Author/Date
1132675,xxEncelia californica,1132674,SPECIES,
1132676,xxEncelia farinosa,1132674,SPECIES,
1132680,xxEriophyllum ambiguum,1132679,SPECIES,
1132681,xxEriophyllum confertiflorum,1132679,SPECIES,
1132684,xxFlaveria linearis,1132683,SPECIES,Lag.
1132692,xxGalinsoga parviflora,1132691,SPECIES,Cavanilles
1132432,xxAchillea millefolium,1103755,SPECIES,L.
1132441,xxEupatorium perfoliatum,1105843,SPECIES,L.
1132446,xxHelianthus decapetalus,1132444,SPECIES,
1132450,xxRudbeckia hirta,1132449,SPECIES,L.
1133145,xxApocynum androsaemifolium,1133144,SPECIES,L.
1133146,xxApocynum cannabinum,1133144,SPECIES,L.
1133704,xxLabordia cyrtandrae,1133703,SPECIES,
1133705,xxLabordia hirtella,1133703,SPECIES,
1134378,xxGalium asprellum,1102984,SPECIES,Michaux
1134379,xxGalium boreale,1102984,SPECIES,L.
1134380,xxGalium circaezans,1102984,SPECIES,Michaux
1134381,xxGalium mollugo,1102984,SPECIES,L.
1134382,xxGalium palustre,1102984,SPECIES,L.
1132112,xxSmilacina stellata,1132109,SPECIES,Desf.
1132116,xxStreptopus roseus,1132115,SPECIES,Michaux
1132467,xxArtemisia annua,1104016,SPECIES,
1132468,xxArtemisia biennis,1104016,SPECIES,
1133394,xxHoya carnosa,1133393,SPECIES,R. Br.
1132840,xxChaenactis glabriuscula,1132836,SPECIES,DC.
1132845,xxEmilia sonchifolia,1132843,SPECIES,(L.) DC. ex Wight
1133900,xxPhryma leptostachya,1133899,SPECIES,L.
1133024,xxAdoxa moschatellina,1133023,SPECIES,L.
1133742,xxSpigelia anthelmia,1133741,SPECIES,L.
1130315,xxLemna aequinoctialis,1130314,SPECIES,
1130316,xxLemna gibba,1130314,SPECIES,L.
1130317,xxLemna minor,1130314,SPECIES,L.
1132103,xxSchoenocaulon dubium,1132102,SPECIES,(Michaux) Small
1132797,xxAntennaria alpina,1132796,SPECIES,(L.) Gaertn.
1132798,xxAntennaria plantaginifolia,1132796,SPECIES,
1132513,xxConyza bonariensis,1132511,SPECIES,
1133456,xxBartonia virginica,1133455,SPECIES,
1133739,xxMitreola sessilifolia,1133737,SPECIES,
1132470,xxArtemisia californica,1104016,SPECIES,
1132471,xxArtemisia frigida,1104016,SPECIES,
1132474,xxArtemisia ludoviciana,1104016,SPECIES,Nutt.
1132475,xxArtemisia suksdorfii,1104016,SPECIES,
1132518,xxErigeron divergens,1105552,SPECIES,T&G
1132526,xxErigeron foliosus,1105552,SPECIES,Nutt.
1132527,xxErigeron geiseri,1105552,SPECIES,Shinners
1132528,xxErigeron inornatus,1105552,SPECIES,Gray
1132530,xxErigeron pulchellus,1105552,SPECIES,Michx.
1132533,xxGrindelia squarrosa,1132532,SPECIES,(Pursh) Dunal
1132535,xxGutierrezia sarothrae,1132534,SPECIES,
1132777,xxXanthium strumarium,1132772,SPECIES,L.
1132476,xxArtemisia tridentata,1104016,SPECIES,Nutt.
1132477,xxArtemisia vulgaris,1104016,SPECIES,
1132481,xxChrysanthemum coronarium,1132480,SPECIES,L.
1132484,xxCotula coronopifolia,1132483,SPECIES,
1132494,xxBerkheya heterophylla,1132493,SPECIES,(Thunb.) O. Hoffm.
1134821,xxRuellia tuberosa,1134819,SPECIES,L.
1132502,xxBaccharis pilularis,1132500,SPECIES,DC.
1130012,xxAnthoceros fusiformis,1130010,SPECIES,Aust.
1130013,xxAnthoceros husnoti,1130010,SPECIES,St.
1130016,xxAnthoceros punctatus,1130010,SPECIES,L.
1131085,xxRhynchospora alba,1131084,SPECIES,(L.) Vahl
1132830,xxArnica alpina,1132829,SPECIES,Olin. & Ladau
1132831,xxArnica cordifolia,1132829,SPECIES,
1133556,xxGentiana glauca,1133544,SPECIES,Pall.
1133559,xxGentiana nivalis,1133544,SPECIES,
1133560,xxGentiana prostrata,1133544,SPECIES,Haenke
1133359,xxCalotropis procera,1133358,SPECIES,(Aiton) R. Br.
1133363,xxCryptostegia grandiflora,1133362,SPECIES,R. Br.
1133213,xxFuntumia elastica,1133212,SPECIES,
1133942,xxPlantago cordata,1100211,SPECIES,Lam.
1133943,xxPlantago eriopoda,1100211,SPECIES,Torr.
1133944,xxPlantago lanceolata,1100211,SPECIES,L.
1133947,xxPlantago ovata,1100211,SPECIES,
1133948,xxPlantago rugelii,1100211,SPECIES,Dcne.
1133950,xxPlantago virginica,1100211,SPECIES,L.
1132743,xxVerbesina encelioides,1132742,SPECIES,Cavanilles
1131900,xxAletris aurea,1131899,SPECIES,Walt
1131049,xxCarex vaginata,1131038,SPECIES,Tausch.
1131059,xxEleocharis acicularis,1131058,SPECIES,(L.) R & S
1131064,xxEriophorum russeolum,1131061,SPECIES,
1131067,xxFimbristylis dichotoma,1131066,SPECIES,L.
1133545,xxGentiana alba,1133544,SPECIES,
1133548,xxGentiana andrewsii,1133544,SPECIES,Grisebach
1133550,xxGentiana calycosa,1133544,SPECIES,Grisebach
1131924,xxAsparagus officinalis,1131921,SPECIES,L.
1132937,xxCampanula rotundifolia,1102331,SPECIES,L.
1132938,xxCampanula uniflora,1102331,SPECIES,L.
1132646,xxClibadium erosum,1132644,SPECIES,(Sw.) DC.
1133568,xxGentianella amarella,1133567,SPECIES,(L.) Borner
1133579,xxGentianella propinqua,1133567,SPECIES,(Richards) J.M. Gillett
1131233,xxPanicum dichotomiflorum,1131231,SPECIES,Michaux
1131234,xxPanicum maximum,1131231,SPECIES,
1132355,xxGoodyera oblongifolia,1132354,SPECIES,Rafinesque-Schmaltz
1132356,xxGoodyera pubescens,1132354,SPECIES,
1133966,xxConvolvulus althaeoides,1133965,SPECIES,L.
1133967,xxConvolvulus arvensis,1133965,SPECIES,L.
1133972,xxCuscuta campestris,1097542,SPECIES,Yunker
1133102,xxValeriana capitata,1133101,SPECIES,
1133105,xxValeriana officinalis,1133101,SPECIES,L.
1133107,xxValerianella dentata,1133106,SPECIES,
1139812,xxRanunculus pygmaeus,1080044,SPECIES,Wahlenb.
1138822,xxCeltis occidentalis,1138810,SPECIES,L.
1139184,xxLiriodendron tulipifera,1139182,SPECIES,L.
1142193,xxElaeagnus angustifolia,1142192,SPECIES,L.
1142194,xxElaeagnus commutata,1142192,SPECIES,Bernh.
1142196,xxShepherdia argentea,1142195,SPECIES,
1142197,xxShepherdia canadensis,1142195,SPECIES,Nutt.
1138877,xxBoehmeria cylindrica,1138875,SPECIES,(L.) Sw.
1143944,xxLathyrus ochroleucus,1143939,SPECIES,Hooker
1143945,xxLathyrus palustris,1143939,SPECIES,L.
1143951,xxAstragalus vexilliflexus,1090072,SPECIES,Sheld
1140962,xxCordia alba,1098559,SPECIES,
1140966,xxCordia collococca,1098559,SPECIES,L.
1137985,xxSechium edule,1137984,SPECIES,
1140352,xxArgythamnia lanceolata,1140351,SPECIES,
1138276,xxAlnus glutinosa,1138268,SPECIES,(L.) Gaertn.
1138277,xxAlnus incana,1138268,SPECIES,(L.) Moench.
1138279,xxAlnus maritima,1138268,SPECIES,(Marsh.) Muhl.
1138282,xxAlnus rhombifolia,1138268,SPECIES,Nutt.
1138283,xxAlnus rubra,1138268,SPECIES,Bong.; Bongard
1138285,xxAlnus serrulata,1138268,SPECIES,(Aiton) Willdenow
1138287,xxAlnus viridis,1138268,SPECIES,L.
1138291,xxBetula glandulosa,1081133,SPECIES,Michaux
1138296,xxBetula nigra,1081133,SPECIES,L.
1138297,xxBetula occidentalis,1081133,SPECIES,Hooker
1138298,xxBetula papyrifera,1081133,SPECIES,Marsh; Marsh.
1141096,xxLinum perenne,1141091,SPECIES,
1141098,xxLinum usitatissimum,1141091,SPECIES,L.
1138299,xxBetula populifolia,1081133,SPECIES,Marsh
1138300,xxBetula pumila,1081133,SPECIES,L.
1143975,xxOxytropis huddelsonii,1091883,SPECIES,Pers.
1143977,xxRobinia pseudoacacia,1143976,SPECIES,L.
1143989,xxHedysarum boreale,1143987,SPECIES,Nutt.
1143991,xxHedysarum sulphurescens,1143987,SPECIES,Rydb.
