speckey,xxScientific Name,Taxonomic System
1132635,xxBidens,Botany
1132639,xxChrysactinia,Botany
1132644,xxClibadium,Botany
1132288,xxCalypso,Botany
1131567,xxBrodiaea douglasii,Botany
1132416,xxSpiranthes grayii,Botany
1132058,xxLloydia,Botany
1132062,xxMaianthemum,Botany
1132670,xxEchinacea,Botany
1132674,xxEncelia,Botany
1132683,xxFlaveria,Botany
1132691,xxGalinsoga,Botany
1132449,xxRudbeckia,Botany
1133137,xxAlyxia,Botany
1133140,xxAmsonia ilustris,Botany
1134383,xxGalium sp.,Botany
1132111,xxSmilacina racemosa,Botany
1132115,xxStreptopus,Botany
1133389,xxGonolobus,Botany
1133393,xxHoya,Botany
1132843,xxEmilia,Botany
1133771,xxLithospermum ruderale,Botany
1133899,xxPhryma,Botany
1133741,xxSpigelia,Botany
1133743,xxStrychnaceae,Botany
1130314,xxLemna,Botany
1130318,xxSpirodela,Botany
1132088,xxPolygonatum,Botany
1132102,xxSchoenocaulon,Botany
1132796,xxAntennaria,Botany
1133707,xxLabordia tinifolia var. tinifolia,Botany
1133455,xxBartonia,Botany
1133730,xxPotaliaceae,Botany
1133737,xxMitreola,Botany
1132523,xxErigeron filifolius,Botany
1132532,xxGrindelia,Botany
1132483,xxCotula,Botany
1132493,xxBerkheya,Botany
1134159,xxSolanum tuberosum,Botany
1134819,xxRuellia,Botany
1131921,xxAsparagus,Botany
1131084,xxRhynchospora,Botany
1133202,xxEchites,Botany
1132814,xxHelichrysum,Botany
1132829,xxArnica,Botany
1133335,xxThevetia merriifolia,Botany
1133339,xxTrachelospermum jasminoiodes,Botany
1133353,xxAsclepias curvassavica,Botany
1133362,xxCryptostegia,Botany
1133212,xxFuntumia,Botany
1132607,xxActinea,Botany
1133252,xxOchrosia,Botany
1131065,xxEriophorum spissum,Botany
1131066,xxFimbristylis,Botany
1133677,xxVoyria,Botany
1133688,xxGelsemium,Botany
1133547,xxGentiana amarella acuta,Botany
1133581,xxHalenia,Botany
1132357,xxGoodyera sp.,Botany
1133597,xxLeiphaimos parasitica,Botany
1133600,xxLisianthus,Botany
1133101,xxValeriana,Botany
1133106,xxValerianella,Botany
1133110,xxAntoniaceae,Botany
1143772,xxDesmodium canadense,Botany
1142192,xxElaeagnus,Botany
1142195,xxShepherdia,Botany
1137976,xxPsiguria,Botany
1139147,xxCinnamomum sp.,Botany
1143941,xxLathyrus maritimus,Botany
1143943,xxLathyrus nevadensis var. pilosellus,Botany
1143947,xxLathyrus venosus var. intonsus,Botany
1137984,xxSechium,Botany
1140351,xxArgythamnia,Botany
1138284,xxAlnus rugosa,Botany
1138289,xxBetula alleghaniensis,Botany
1138293,xxBetula lenta,Botany
1137987,xxSicana odorifera,Botany
1137989,xxSicyos angulatus,Botany
1137999,xxDatisca glomerata,Botany
1138007,xxBanara,Botany
1143990,xxHedysarum mackenzii,Botany
1138321,xxCorylus americana f. missouriensis,Botany
1138323,xxCorylus californica,Botany
1138328,xxCorylus rostrata,Botany
