Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Bryophyte,CANM 126633,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126560,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126561,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126537,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126674,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126671,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126522,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126679,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126673,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126665,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126667,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126669,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126661,Barbula tortuosa,original identification,Tortella fragilis | Didymodon | Leskeella nervosa
Bryophyte,CANM 126521,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126595,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126559,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126563,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126564,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126539,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126183,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126599,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126634,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126614,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126603,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126598,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126631,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 312589,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 312592,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126640,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126641,Barbula tortuosa,original identification,Tortella tortuosa | Campylium polygamum
Bryophyte,CANM 126650,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126651,Barbula tortuosa,original identification,Tortella tortuosa | Schistidium rivulare | Brachythecium laetum
Bryophyte,CANM 126657,Barbula tortuosa,original identification,Tortella tortuosa | Dichodontium pellucidum | Platydictya confervoides | Campylium polygamum
Bryophyte,CANM 126662,Barbula tortuosa,original identification,Tortella tortuosa | Campylium polygamum | Myurella julacea | Thuidium recognitum
Bryophyte,CANM 126639,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126642,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126644,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126653,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126656,Barbula tortuosa,original identification,Tortella tortuosa
Bryophyte,CANM 126235,Barbula tortuosa,original identification,Tortella fragilis | Tortella tortuosa
