mkey,descriptor,term,note
704897,substrate,n/a,on rocky slope under bushes
704899,substrate,n/a,Mixed with moss spp. on vertical N.-facing basaltic rock face
704911,substrate,n/a,on rock cliff
704912,substrate,n/a,on rock cliff
704914,substrate,n/a,on rock cliff
704915,substrate,n/a,on moist rock
704919,substrate,n/a,On moist shaded granitic ledges and rock faces
704920,substrate,n/a,On shaded moist granitic ledges along rock face
704921,substrate,n/a,A hanging festoon on vertical shaded side of basaltic talus boulder on slope below river bluff
704923,substrate,n/a,Over shaly boulder on wooded talus slope among mosses
704925,substrate,n/a,Shaded side of basaltic talus boulder at foot of river bank cliff
704926,substrate,n/a,Moist humus on top of boulder at foot of cliff in woods
704928,substrate,n/a,On moist leaf duff between large basaltic talus boulders at foot of steep slope under birches and balsam firs
704930,substrate,n/a,Forming a mat at base of shaded basaltic talus boulders among birches and balsam firs.
704931,substrate,n/a,Forming a matte on basal ledge of shaded W.-facing basaltic cliff
704933,substrate,n/a,Over a boulder top and side in mixed woods among talus boulders at foot of N.-facing cliff
704942,substrate,n/a,At base of vertical face of large basaltic talus boulder on NE.-facing slope in mixed woods
704945,substrate,n/a,on rock
704949,substrate,n/a,on rock outcrop
704951,substrate,n/a,on rock outcrop in woods
704953,substrate,n/a,on cliff face
704955,substrate,n/a,on boulder beside lake
704956,substrate,n/a,Mat over thin soil on basaltic boulders on shaded moist talus slope.
704958,substrate,n/a,Under overhang of large shaded basaltic talus boulder
26281,substrate,n/a,on cliff
25440,substrate,n/a,on bank of rivulet beside road
704961,substrate,n/a,on rocky shore
704966,substrate,n/a,on moist rock
704968,substrate,n/a,on igneous rocks
704969,substrate,n/a,on rock cliff
704973,substrate,n/a,On rotten log turned to soil along creek in mixed woods
704975,substrate,n/a,Mixed with mosses on dry vertical side of basaltic talus boulder
704976,substrate,n/a,On thin soil between large basaltic talus boulders
704980,substrate,n/a,On face of rock outcrop under ferns
704981,substrate,n/a,on bluff
704983,substrate,n/a,in crevice in cave area
704984,substrate,n/a,on rock cliff
704985,substrate,n/a,On ledges and sides of vertical moist basaltic shore rocks
704986,substrate,n/a,on rock in woods
704987,substrate,n/a,On root of Betula sp. in moist crevice of basaltic lakeshore rocks
704989,substrate,n/a,Moist forest floor just behind lakeshore with mosss etc. under Picea spp.
704990,substrate,n/a,On a thin soil layer with other mosses in shade of Abies and Picea spp.
704992,substrate,n/a,on stone in woods
704994,substrate,n/a,On rock in Abies balsamea/Populus balsamifera forest
704996,substrate,n/a,Rocks
704997,substrate,n/a,on rock in woods
704998,substrate,n/a,on rock in wood
705001,substrate,n/a,On boulders shaded by black spruce and jack pine
705003,substrate,n/a,In moss on ledges and in crevices of shaly cliff
21264,substrate,n/a,On boulders beside river.
21498,substrate,n/a,On humus over boulder.
705007,substrate,n/a,along side of gorge
17261,substrate,n/a,On rock outcrop beside creek.
25523,substrate,n/a,On base of cliff.
29439,substrate,n/a,On boulder in woods.
29399,substrate,n/a,On rock bluff beside river.
705048,substrate,n/a,on igneous rock cliff
705049,substrate,n/a,On huge boulders shaded by black spruce and jack pine
705050,substrate,n/a,Among moist stems of Polypodium under Betula on basaltic talus boulders
705052,substrate,n/a,on rock cliff
705054,substrate,n/a,"Over very rotten stump in densely shaded woods, mainly balsam fir, along trail"
705056,substrate,n/a,on rock
705059,substrate,n/a,on rotting logs on peaty soil
705063,substrate,n/a,Large circular patch and scattered over drier vertical surfaces of immense shaded basaltic talus boulder in stream bed
705064,substrate,n/a,on limestone rock
705065,substrate,n/a,on rock bluff
705066,substrate,n/a,on rock face
705068,substrate,n/a,on rock in woods
705070,substrate,n/a,Semi-open rock area on intrusive dyke about 10 m above Lake Superior
705087,substrate,n/a,on rock outcrop
705089,substrate,n/a,tree bases at wet trough
20378,substrate,n/a,Crevices of granite rock on cliff
705094,substrate,n/a,on humus over limestone cliff
705098,substrate,n/a,on boulder
17484,substrate,n/a,On rock outcrop in woods.
17492,substrate,n/a,On rock outcrop near lake.
21909,substrate,n/a,On soil over boulder.
21937,substrate,n/a,On rock bluff beside creek.
25495,substrate,n/a,Amongst polytrichum on rock in woods.
25517,substrate,n/a,On rock outcrop near beaver pond.
705125,substrate,n/a,On large shaded boulders
705130,substrate,n/a,on soil over boulders.
705132,substrate,n/a,on rock
705134,substrate,n/a,on rock
705135,substrate,n/a,thin soil over rock
705136,substrate,n/a,on ground
705137,substrate,n/a,dry boulder
705139,substrate,n/a,on stones in damp woods
705143,substrate,n/a,on rocks
705150,substrate,n/a,on moss.
705155,substrate,n/a,on rocks
705160,substrate,n/a,on rocks
705161,substrate,n/a,on rocks
705162,substrate,n/a,on rocks along a ravine
705164,substrate,n/a,on rotten logs
705165,substrate,n/a,on rocks
705167,substrate,n/a,on rocks in woods
705171,substrate,n/a,on rocks
705172,substrate,n/a,on damp rocks along the cliff
705173,substrate,n/a,on moss
705175,substrate,n/a,on rocks
705177,substrate,n/a,on boulders
705178,substrate,n/a,on humus
705179,substrate,n/a,on humus in woods
705181,substrate,n/a,on boulder in woods
705182,substrate,n/a,on rock shaded by balsam fir
705189,substrate,n/a,on soil
705192,substrate,n/a,on shaded humus over rock on ground
705197,substrate,n/a,sur grès
705202,substrate,n/a,on rotting wood in forest
705205,substrate,n/a,"sur sol, sur affreurement rocheux"
705206,substrate,n/a,sur roc
705218,substrate,n/a,on wet rock face in woods
705219,substrate,n/a,on rock outcrop
705220,substrate,n/a,on rock in woods
705221,substrate,n/a,rocher
705222,substrate,n/a,rochers
705223,substrate,n/a,sur roc
705224,substrate,n/a,"sur sol, sur affreurement rocheux"
705225,substrate,n/a,on rotten wood
705228,substrate,n/a,on boulder in woods
705230,substrate,n/a,on dry rock outcrop
705231,substrate,n/a,on seepy rock face
