speckey,scientific_name,collection,rank,ancestors,catalog_count
1131943,Bloomeria crocea,Botany,SPECIES,Plantae | Anthophyta | xxLiliatae | xxLiliidae | xxLiliales | xxLiliaceae | Bloomeria,1
1080421,Bocconia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Magnoliidae | Papaverales | Papaveraceae,0
1139396,Bocconia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Magnoliidae | Papaverales | Papaveraceae,0
1080422,Bocconia frutescens,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Magnoliidae | Papaverales | Papaveraceae | Bocconia,3
1139398,Bocconia frutescens,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Magnoliidae | Papaverales | Papaveraceae | Bocconia,3
1097302,Bonamia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Solanales | Convolvulaceae,0
1133960,Bonamia,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxAsteridae | Polemoniales | xxConvolvulaceae,0
1111177,Brachiaria,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Commelinidae | Poales | Poaceae,0
1131141,Brachiaria,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Commelinidae | xxCyperales | xxGramineae,0
1111180,Brachiaria brizantha,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Commelinidae | Poales | Poaceae | Brachiaria,2
1131142,Brachiaria brizantha,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Commelinidae | xxCyperales | xxGramineae | Brachiaria,2
1085908,Brassica,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Dilleniidae | Capparales | Brassicaceae,0
1135982,Brassica,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxDilleniidae | xxCapparales | xxCruciferae,0
1085930,Braya,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Dilleniidae | Capparales | Brassicaceae,3
1135984,Braya,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxDilleniidae | xxCapparales | xxCruciferae,1
1093414,Buchenavia capitata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | Combretaceae | Buchenavia,1
