ID Number,xx speckey,xx Scientific Name
CAN 328501,1078930,xxOsmunda cinnamomea
CAN 450113,1078930,xxOsmunda cinnamomea
CAN 436094,1078930,xxOsmunda cinnamomea
CAN 439977,1078930,xxOsmunda cinnamomea
CAN 452413,1078930,xxOsmunda cinnamomea
CAN 439781,1078930,xxOsmunda cinnamomea
CAN 475015,1078930,xxOsmunda cinnamomea
CAN 498736,1078930,xxOsmunda cinnamomea
CAN 470579,1078930,xxOsmunda cinnamomea
CAN 430971,1078930,xxOsmunda cinnamomea
CAN 521163,1078930,xxOsmunda cinnamomea
CAN 521514,1078930,xxOsmunda cinnamomea
CAN 502060,1078930,xxOsmunda cinnamomea
CAN 501894,1078930,xxOsmunda cinnamomea
CAN 501233,1078930,xxOsmunda cinnamomea
CAN 501452,1078930,xxOsmunda cinnamomea
CAN 502042,1078930,xxOsmunda cinnamomea
CAN 526337,1078930,xxOsmunda cinnamomea
CAN 540334,1078930,xxOsmunda cinnamomea
CAN 527389,1078930,xxOsmunda cinnamomea
CAN 530455,1078930,xxOsmunda cinnamomea
CAN 530460,1078930,xxOsmunda cinnamomea
CAN 542280,1078930,xxOsmunda cinnamomea
CAN 536394,1078930,xxOsmunda cinnamomea
CAN 415225,1078934,xxOsmunda claytoniana
CAN 440556,1078934,xxOsmunda claytoniana
CAN 323501,1078934,xxOsmunda claytoniana
CAN 443667,1078934,xxOsmunda claytoniana
CAN 448306,1078934,xxOsmunda claytoniana
CAN 458827,1078934,xxOsmunda claytoniana
CAN 475001,1078934,xxOsmunda claytoniana
CAN 470563,1078934,xxOsmunda claytoniana
CAN 436835,1078934,xxOsmunda claytoniana
CAN 521623,1078934,xxOsmunda claytoniana
CAN 500864,1078934,xxOsmunda claytoniana
CAN 521240,1078934,xxOsmunda claytoniana
CAN 505256,1078934,xxOsmunda claytoniana
CAN 524571,1078934,xxOsmunda claytoniana
CAN 501357,1078934,xxOsmunda claytoniana
CAN 540795,1078934,xxOsmunda claytoniana
CAN 540701,1078934,xxOsmunda claytoniana
CAN 527276,1078934,xxOsmunda claytoniana
CAN 528564,1078934,xxOsmunda claytoniana
CAN 524492,1078934,xxOsmunda claytoniana
CAN 530461,1078934,xxOsmunda claytoniana
CAN 526182,1078934,xxOsmunda claytoniana
CAN 530576,1078934,xxOsmunda claytoniana
CAN 534568,1078934,xxOsmunda claytoniana
CAN 540491,1078934,xxOsmunda claytoniana
CAN 542479,1078934,xxOsmunda claytoniana
CAN 458839,1078935,xxOsmunda regalis
CAN 434653,1078935,xxOsmunda regalis
CAN 452072,1078935,xxOsmunda regalis
CAN 455264,1078935,xxOsmunda regalis
CAN 435919,1078935,xxOsmunda regalis
CAN 436220,1078935,xxOsmunda regalis
CAN 498735,1078935,xxOsmunda regalis
CAN 470271,1078935,xxOsmunda regalis
CAN 470566,1078935,xxOsmunda regalis
CAN 430883,1078935,xxOsmunda regalis
CAN 521650,1078935,xxOsmunda regalis
CAN 500857,1078935,xxOsmunda regalis
CAN 526004,1078935,xxOsmunda regalis
CAN 521293,1078935,xxOsmunda regalis
CAN 524596,1078935,xxOsmunda regalis
CAN 502232,1078935,xxOsmunda regalis
CAN 502306,1078935,xxOsmunda regalis
