ID Number,OtherNumber,Type
CAN 109785,97692,collector no./field no.
CAN 109786,144,collector no./field no.
CAN 109787,11373,collector no./field no.
CAN 109788,11647,collector no./field no.
CAN 109789,9946,collector no./field no.
CAN 109790,10582,collector no./field no.
CAN 109791,10528,collector no./field no.
CAN 109792,10227,collector no./field no.
CAN 109793,10188,collector no./field no.
CAN 109919,126,collector no./field no.
CAN 109922,CAN 109922,entry number
CAN 109923,11492,collector no./field no.
CAN 109924,11689,collector no./field no.
CAN 109963,9845,collector no./field no.
CAN 109964,9594,collector no./field no.
CAN 109965,9282,collector no./field no.
CAN 109966,,
CAN 109967,9631,collector no./field no.
CAN 109968,9955,collector no./field no.
CAN 109969,11944,collector no./field no.
CAN 109971,187,collector no./field no.
CAN 109972,226,collector no./field no.
CAN 109978,283,collector no./field no.
CAN 109979,140,collector no./field no.
CAN 109981,9758,collector no./field no.
CAN 109982,11943,collector no./field no.
CAN 109984,284,collector no./field no.
CAN 109985,,
CAN 109986,6722,collector no./field no.
CAN 110095,10187,collector no./field no.
CAN 110096,10963,collector no./field no.
CAN 110097,11393,collector no./field no.
CAN 110098,11275,collector no./field no.
CAN 110099,11376,collector no./field no.
CAN 110100,11017,collector no./field no.
CAN 110101,11055,collector no./field no.
CAN 110102,10580,collector no./field no.
CAN 110103,10226,collector no./field no.
CAN 110104,11096,collector no./field no.
CAN 110105,11638,collector no./field no.
CAN 110106,8402,collector no./field no.
CAN 110107,,
CAN 110108,101,collector no./field no.
CAN 111000,,
CAN 111009,9633,collector no./field no.
CAN 111010,9957,collector no./field no.
CAN 111011,10936,collector no./field no.
CAN 111012,289,collector no./field no.
CAN 111013,9341,collector no./field no.
CAN 111014,93345,collector no./field no.
CAN 111015,12081,collector no./field no.
CAN 111016,78988,collector no./field no.
CAN 111017,78988,collector no./field no.
CAN 111018,78989,collector no./field no.
CAN 111029,8403,collector no./field no.
CAN 111030,135,collector no./field no.
CAN 111031,281,collector no./field no.
CAN 1111,78293,old CMN catalogue number format
CAN 111124,10876,collector no./field no.
CAN 111125,11582,collector no./field no.
CAN 111126,10336,collector no./field no.
CAN 111127,11493,collector no./field no.
CAN 111128,11493,collector no./field no.
CAN 1112,78293,old CMN catalogue number format
CAN 1113,78292,old CMN catalogue number format
CAN 1114,78292,old CMN catalogue number format
CAN 1115,72,collector no./field no.
CAN 111519,233,Field number
CAN 111655,10155,collector no./field no.
CAN 111656,9956,collector no./field no.
CAN 111657,9498,collector no./field no.
CAN 111658,10101,collector no./field no.
CAN 111659,9760,collector no./field no.
CAN 112131,11019,collector no./field no.
CAN 112132,10425,collector no./field no.
CAN 112133,10426,collector no./field no.
CAN 112134,11496,collector no./field no.
CAN 112135,11497,collector no./field no.
CAN 112136,11691,collector no./field no.
CAN 112303,10931,collector no./field no.
CAN 112600,10968,collector no./field no.
CAN 112601,11692,collector no./field no.
CAN 112602,11378,collector no./field no.
CAN 112603,11267,collector no./field no.
CAN 112604,703,collector no./field no.
CAN 112605,102,collector no./field no.
CAN 112653,11645,collector no./field no.
CAN 112654,11997,collector no./field no.
CAN 112655,10195,collector no./field no.
CAN 112656,11159,collector no./field no.
CAN 112657,145,collector no./field no.
CAN 112658,20644,collector no./field no.
CAN 112660,11499,collector no./field no.
CAN 112661,11646,collector no./field no.
CAN 112662,10427,collector no./field no.
CAN 112663,11693,collector no./field no.
CAN 112664,11693,collector no./field no.
CAN 12096,6904,collector no./field no.
CAN 121096,91473,old CMN catalogue number format
CAN 12115,11382,collector no./field no.
CAN 12116,11335,collector no./field no.
CAN 12117,10944,collector no./field no.
CAN 12118,10198,collector no./field no.
CAN 122080,14318,collector no./field no.
CAN 122153,,
CAN 122155,,
CAN 12381,7169,collector no./field no.
CAN 124,11.694,collector no./field no.
CAN 124290,107797,collector no./field no.
CAN 124377,285,collector no./field no.
CAN 126378,496,collector no./field no.
CAN 126640,638,collector no./field no.
CAN 126641,768,collector no./field no.
CAN 126642,168,collector no./field no.
CAN 126643,577,collector no./field no.
CAN 126649,LOIS 7,previous number
CAN 126650,476,collector no./field no.
CAN 126719,573,collector no./field no.
CAN 126731,451,collector no./field no.
CAN 126732,572A,collector no./field no.
CAN 126734,641,collector no./field no.
CAN 126751,20,collector no./field no.
CAN 126754,574,collector no./field no.
CAN 126755,450,collector no./field no.
CAN 126757,667A,collector no./field no.
CAN 126763,664,collector no./field no.
CAN 126765,MAPPED SJD,previous number
CAN 126766,MAPPED SJD,previous number
CAN 126767,MAPPED SJD,previous number
CAN 126768,MAPPED SJD,previous number
CAN 126769,MAPPED SJD,previous number
CAN 126770,MAPPED SJD,previous number
CAN 126771,MAPPED SJD,previous number
CAN 126772,MAPPED SJD,previous number
CAN 126773,MAPPED SJD,previous number
CAN 126774,MAPPED SJD,previous number
CAN 126775,MAPPED SJD,previous number
CAN 126777,856,collector no./field no.
CAN 126801,136,collector no./field no.
CAN 126870,316,collector no./field no.
CAN 126871,332,collector no./field no.
CAN 126872,94,collector no./field no.
CAN 126878,196,collector no./field no.
CAN 126879,752A,collector no./field no.
CAN 126880,752B,collector no./field no.
CAN 126881,152,collector no./field no.
CAN 126882,499,collector no./field no.
CAN 126883,195,collector no./field no.
CAN 126884,672,collector no./field no.
CAN 126885,153,collector no./field no.
CAN 126886,417,collector no./field no.
CAN 126887,454,collector no./field no.
CAN 126888,368,collector no./field no.
CAN 126889,149,collector no./field no.
CAN 126890,674,collector no./field no.
CAN 126891,795,collector no./field no.
CAN 126893,296,collector no./field no.
CAN 126909,422,collector no./field no.
CAN 126911,215,collector no./field no.
CAN 126948,76,collector no./field no.
CAN 126949,737,collector no./field no.
CAN 126998,156,collector no./field no.
CAN 126999,814,
CAN 127003,823,collector no./field no.
CAN 127008,77,collector no./field no.
CAN 127019,8,collector no./field no.
CAN 127020,37,collector no./field no.
CAN 127034,205,collector no./field no.
CAN 127036,387,collector no./field no.
CAN 127037,564,collector no./field no.
CAN 127038,681,collector no./field no.
CAN 127039,468A,collector no./field no.
CAN 127040,773,collector no./field no.
CAN 127041,199,collector no./field no.
CAN 127042,693,collector no./field no.
CAN 127043,514,collector no./field no.
CAN 127044,206,collector no./field no.
CAN 127045,134,collector no./field no.
CAN 127046,385,collector no./field no.
CAN 127047,41,collector no./field no.
CAN 127048,713,collector no./field no.
CAN 127049,758,collector no./field no.
CAN 127065,121,collector no./field no.
CAN 127066,277,collector no./field no.
CAN 127067,589,collector no./field no.
CAN 127068,730,collector no./field no.
CAN 127069,110,collector no./field no.
CAN 127096,126,collector no./field no.
CAN 127097,175,collector no./field no.
CAN 127178,774,collector no./field no.
CAN 127179,24,collector no./field no.
CAN 127180,44,collector no./field no.
CAN 127181,46,collector no./field no.
CAN 127186,692,collector no./field no.
CAN 127200,,
CAN 127201,,
CAN 127202,436,collector no./field no.
CAN 127203,235,collector no./field no.
CAN 127204,151A,collector no./field no.
CAN 127205,803,collector no./field no.
CAN 127206,88,collector no./field no.
CAN 127207,,
CAN 127286,205A,collector no./field no.
CAN 127287,155,collector no./field no.
CAN 127330,34,collector no./field no.
CAN 127331,831,collector no./field no.
CAN 127332,432,collector no./field no.
CAN 127333,600,collector no./field no.
CAN 127334,525,collector no./field no.
CAN 127335,396,collector no./field no.
CAN 127336,397,collector no./field no.
CAN 127337,603,collector no./field no.
CAN 127338,400,collector no./field no.
CAN 127339,616,collector no./field no.
CAN 127340,286A,collector no./field no.
CAN 127341,286,collector no./field no.
CAN 127342,78,collector no./field no.
CAN 127343,59,collector no./field no.
CAN 127344,705,collector no./field no.
CAN 127345,208,collector no./field no.
CAN 127346,695,collector no./field no.
CAN 127347,759,collector no./field no.
CAN 127348,391,collector no./field no.
CAN 127349,360,collector no./field no.
CAN 127350,570,collector no./field no.
CAN 127351,80,collector no./field no.
CAN 127352,832,collector no./field no.
CAN 127353,246,collector no./field no.
CAN 127354,284,collector no./field no.
CAN 127355,522,collector no./field no.
CAN 127358,55,collector no./field no.
CAN 127359a,717,collector no./field no.
CAN 127359b,717,collector no./field no.
CAN 127360,707,collector no./field no.
CAN 127361,694,collector no./field no.
CAN 127362,481,collector no./field no.
CAN 127363,470,collector no./field no.
CAN 127364,394,collector no./field no.
CAN 127365,513,collector no./field no.
CAN 127366,31,collector no./field no.
CAN 127367,833,collector no./field no.
CAN 127368,900,collector no./field no.
CAN 127369,4,collector no./field no.
CAN 127370,617,collector no./field no.
CAN 127371,743,collector no./field no.
CAN 127373,569,collector no./field no.
CAN 127374,150,collector no./field no.
CAN 127375,171,collector no./field no.
CAN 127376,100,collector no./field no.
CAN 127378,19,collector no./field no.
CAN 127379,700,collector no./field no.
CAN 127380,469,collector no./field no.
CAN 127381,202,collector no./field no.
CAN 127382,201,collector no./field no.
CAN 127394,CAN 127394,entry number
CAN 127397,808,collector no./field no.
CAN 127398,534,collector no./field no.
CAN 127399,602,collector no./field no.
CAN 127400,,
CAN 127401,697,collector no./field no.
CAN 127410,390,collector no./field no.
CAN 127411,283,collector no./field no.
CAN 127412,494,collector no./field no.
CAN 12908,7129,collector no./field no.
CAN 13758,7130,collector no./field no.
CAN 141,10103,collector no./field no.
CAN 14425,10497,collector no./field no.
CAN 14426,157,collector no./field no.
CAN 14462,11600,collector no./field no.
CAN 14463,10556,collector no./field no.
CAN 14464,10556,collector no./field no.
CAN 14465,11036,collector no./field no.
CAN 14828,12475,collector no./field no.
CAN 15038,314,collector no./field no.
CAN 151857,692,collector no./field no.
CAN 15192,83064,old CMN catalogue number format
CAN 153647,,
