speckey,scientific_name,authority,rank,hierarchy,total,CA-US_total,CA-US_breakdown
1167468,Tadorna radjah,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Tadorna,1,0,
1151149,Lagopus lagopus × Falcipennis canadensis,,hybrid,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Lagopus × Falcipennis,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1151152,Tetrao urogallus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Tetrao,5,0,
1151154,Tympanuchus cupido,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Tympanuchus,44,43,"{:nil=>32, :B=>3, :E=>5, :S=>2, :T=>1, :Z=>0}"
1151155,Tympanuchus pallidicinctus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Tympanuchus,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1151156,Tympanuchus phasianellus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Tympanuchus,210,209,"{:nil=>192, :B=>1, :E=>3, :S=>9, :T=>4, :Z=>0}"
1175771,Gallinuloides wyomingensis,"Eastman, 1900",species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Gallinuloididae; Gallinuloides,1,0,
1150495,Anhima cornuta,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anhimidae; Anhima,2,0,
502661,Accipiter nisus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter,15,0,
502662,Accipiter striatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter,305,297,"{:nil=>247, :B=>2, :E=>29, :S=>13, :T=>5, :Z=>1}"
502663,Accipiter cooperii,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter,92,83,"{:nil=>61, :B=>3, :E=>12, :S=>3, :T=>4, :Z=>0}"
502664,Accipiter gentilis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter,228,217,"{:nil=>172, :B=>4, :E=>7, :S=>23, :T=>10, :Z=>1}"
1166059,Accipiter gentilis laingi,"(Taverner, 1940)",subspecies,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter; Accipiter gentilis,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1151021,Rupornis magnirostris,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Rupornis,3,0,
1151042,Stephanoaetus coronatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Stephanoaetus,1,0,
1151011,Aquila chrysaetos,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Aquila,54,52,"{:nil=>30, :B=>2, :E=>9, :S=>7, :T=>3, :Z=>1}"
