id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CMNAR 20114,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,"","Rankin, R. Michael","North America: Canada, Manitoba",1980-05-27,,,1980-253,"Hwys. 373 & 391, 16.7 km. SW. of Waboden turnoff","",54.65,-99.144444,,
CMNAR 20116,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Rankin, R. Michael","North America: Canada, Manitoba",1980-05-27,,,1980-253,"Hwy. 391, Waboden turnoff","",54.906944,-98.654167,,
CMNAR 20118,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Rankin, R. Michael","North America: Canada, Manitoba",1980-05-27,fluid,,1980-253,"Hwy. 391, Waboden turnoff","",54.906944,-98.654167,,
CMNAR 20120,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,9,,"","Schueler, Frederick W.; Rankin, R. Michael","North America: Canada, Manitoba",1980-05-28,,,1980-253,"Hwy. 391, 9 km. SSW. of Thompson","",55.65,-97.916667,,
CMNAR 20122,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,27,,"","Schueler, Frederick W.; Rankin, R. Michael","North America: Canada, Manitoba",1980-05-28,,,1980-253,"Hwy. 391, 9 km. - 12.5 km. SSW. of Thompson","",55.633333,-97.933333,,
CMNAR 20134,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,6,,"","Schueler, Frederick W.; Rankin, R. Michael","North America: Canada, Manitoba",1980-05-30,,,1980-253,"Molson Lake Rd., 4.3 km. E. of Norway House Rd.","",54.218056,-97.516667,,
CMNAR 20138,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Schueler, Frederick W.","North America: Canada, Manitoba",1980-06-01,,,1980-253,5.0 km. N. of base of Limestone Pt.,"",53.956944,-98.733333,,
CMNAR 20140,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Schueler, Frederick W.","North America: Canada, Manitoba",1980-06-02,,,1980-253,"1 km. E. of mouth of William River, Lake Winnipeg","",53.954167,-98.929167,,
CMNAR 20155,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,9,,"","Rankin, R. Michael","North America: Canada, Manitoba",1980-06-03,,,1980-253,"Pond, 10 km. E. of tip of Limestone Pt., Lake Winnipeg","",53.801389,-98.8375,,
CMNAR 20159,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,4,,"","Schueler, Frederick W.","North America: Canada, Manitoba",1980-06-04,,,1980-253,"4.8 km. E. of base of Limestone Pt., Lake Winnipeg","",53.838889,-98.6375,,
CMNAR 20160,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,"","Rankin, R. Michael","North America: Canada, Manitoba",1980-06-04,,,1980-253,"5.0 km. N. of base of Limestone Pt., Lake Winnipeg","",53.873611,-98.7375,,
CMNAR 20162,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Schueler, Frederick W.; Rankin, R. Michael","North America: Canada, Manitoba",1980-06-05,,,1980-253,"4.8 km. E. of base of Limestone Pt., Lake Winnipeg","",53.838889,-98.6375,,
CMNAR 20165,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Rankin, R. Michael","North America: Canada, Manitoba",1980-06-05,,,1980-253,"6.2 km. E. of base of Limestone Pt., Lake Winnipeg","",53.844444,-98.611111,,
CMNAR 20168,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Schueler, Frederick W.","North America: Canada, Manitoba",1980-06-05,,,1980-253,"7.9 km. E. of base of Limestone Pt., Lake Winnipeg","",53.843056,-98.606944,,
CMNAR 28349,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,RAS-455,"Saumure, Raymond A.","North America: Canada, Québec, Gatineau Métropolitain, Gatineau",1986-04-18,,,1986-044,"Corner of La Gappe Boulevard and Hwy 550, Touraine","",45.474444,-75.711389,10% cloud cover.  Landfill created a small floodland about 2 feet deep maximum. Clay bottom and banks.,Amphibian and Reptile Collection
