id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
3986,1,catalogue,Toxicodendron radicans du Quebec,PUBLIC,,MBOUCHARD,,,2014-11-13 11:14:29 UTC,MBOUCHARD,2014-11-13 13:40:04 UTC
3989,1,catalogue,A2014.0072,PUBLIC,,MBOUCHARD,,,2014-11-14 10:51:26 UTC,MBOUCHARD,2014-11-14 10:54:55 UTC
3990,1,catalogue,Loan Trapelia Brodo NYBG,PUBLIC,,MBOUCHARD,,,2014-11-14 12:59:59 UTC,MBOUCHARD,2014-11-14 14:09:53 UTC
3993,1,catalogue,Franklin Exhibit Campbell,PUBLIC,,MBOUCHARD,,,2014-11-20 15:31:07 UTC,MBOUCHARD,2014-11-20 15:31:29 UTC
3995,1,catalogue,Loan of Acarospora canadensis to Martin Westberg,PUBLIC,,MBOUCHARD,,,2014-11-21 12:17:26 UTC,MBOUCHARD,2014-11-21 12:30:12 UTC
3996,1,catalogue,Type loan of Acarospora canadensis to Martin Westberg,PUBLIC,,MBOUCHARD,,,2014-11-21 12:32:17 UTC,MBOUCHARD,2014-11-21 12:34:27 UTC
4019,1,catalogue,New label CANL126325,PUBLIC,,MBOUCHARD,,,2014-12-18 12:02:31 UTC,MBOUCHARD,2014-12-18 12:02:37 UTC
4021,1,catalogue,A2014.0002 EXTRA,PUBLIC,,MBOUCHARD,,,2015-01-12 12:21:53 UTC,MBOUCHARD,2015-01-12 12:21:58 UTC
4028,1,catalogue,A2014.0047,PUBLIC,,MBOUCHARD,,,2015-01-13 13:20:31 UTC,MBOUCHARD,2015-01-13 13:20:37 UTC
4029,1,catalogue,A2014.0055,PUBLIC,,MBOUCHARD,,,2015-01-13 14:18:50 UTC,MBOUCHARD,2015-01-13 14:44:32 UTC
4033,1,catalogue,LP1973-0001,PUBLIC,,MBOUCHARD,,,2015-01-21 11:00:07 UTC,MBOUCHARD,2015-01-22 10:21:24 UTC
4036,1,catalogue,Request for images - LEE-YAW Julie ,PUBLIC,,MBOUCHARD,,,2015-01-30 08:18:17 UTC,MBOUCHARD,2015-01-30 10:12:39 UTC
4037,1,catalogue,DAO - Lonicera/Butomus loan,PUBLIC,,MBOUCHARD,,,2015-02-02 07:32:29 UTC,MBOUCHARD,2015-02-09 08:01:19 UTC
4072,1,catalogue,DAO Kerr & Blain,PUBLIC,,MBOUCHARD,,,2015-03-09 12:22:15 UTC,MBOUCHARD,2015-03-09 13:37:57 UTC
4073,1,catalogue,Loan to Roger Bull - 2015,PUBLIC,,MBOUCHARD,,,2015-03-10 08:51:48 UTC,MBOUCHARD,2015-03-10 08:52:08 UTC
4075,1,catalogue,Caleb Morse - Caloplaca lobulata,PUBLIC,,MBOUCHARD,,,2015-03-13 07:39:45 UTC,MBOUCHARD,2015-03-13 08:24:37 UTC
4076,1,catalogue,Caleb Morse - Lecanora perplexa,PUBLIC,,MBOUCHARD,,,2015-03-13 08:29:12 UTC,MBOUCHARD,2015-03-13 08:32:03 UTC
4077,1,catalogue,Heidmarsson lichen loan Feb 2015,PUBLIC,,MBOUCHARD,,,2015-03-16 08:17:27 UTC,,
4078,1,catalogue,Loan Heidmarsson Feb 2015,PUBLIC,,MBOUCHARD,,,2015-03-16 08:18:32 UTC,MBOUCHARD,2015-03-16 08:18:37 UTC
4079,1,catalogue,Jiri Malicek lichen loan,PUBLIC,,MBOUCHARD,,,2015-03-16 08:20:30 UTC,MBOUCHARD,2015-03-16 09:44:07 UTC
4085,1,catalogue,Lutzoni,PUBLIC,,MBOUCHARD,,,2015-03-26 10:16:44 UTC,MBOUCHARD,2015-03-26 10:16:49 UTC
4086,1,catalogue,A2015.0059,PUBLIC,,MBOUCHARD,,,2015-03-27 14:15:29 UTC,MBOUCHARD,2015-03-27 14:15:50 UTC
