site_id,status
CMNFV 037240,missing other number LOC. P-1101
CMNFV 037241,missing object CMNFV 37241
CMNFV 037242,missing object CMNFV 37242
CMNFV 037243,missing other number LOC. P-1101
CMNFV 037244,missing other number LOC. P-1101
CMNFV 037245,missing object CMNFV 37245
CMNFV 037246,missing object CMNFV 37246
CMNFV 037247,missing other number LOC. P-1101
CMNFV 037248,missing other number LOC. P-1101
CMNFV 037249,missing object CMNFV 37249
CMNFV 044825,missing object CMNFV 44825
CMNFV 044826,missing object CMNFV 44826
CMNFV 044827,missing object CMNFV 44827
CMNFV 044829,missing object CMNFV 44829
CMNFV 032070,missing other number LOC. 115
CMNFV 032667,missing other number LOC. 65
CMNFV 024179,missing other number LOC. 12E
CMNFV 026176,missing other number MKVI-94-23
CMNFV 026177,missing other number MKVI-9A-1
CMNFV 026178,missing other number MKVI-9A-5
CMNFV 026179,missing other number MKVI-9A-13
CMNFV 026180,missing other number MKVI-9A-23
CMNFV 026182,missing other number MKVI-9A-23
CMNFV 026181,missing other number MKVI-9A-23
CMNFV 026183,missing other number MKVI-9A-3
CMNFV 026184,missing other number MKVI-9A-14
CMNFV 026185,missing other number MKVI-9A-33
CMNFV 026186,missing other number MKVI-9A-28
CMNFV 026187,missing other number MKVI-9A-28
CMNFV 026188,missing other number MKVI-9A-33
CMNFV 026189,missing other number MKVI-9A-32
CMNFV 026190,missing other number MKVI-9A-31
CMNFV 026194,missing other number MKVI-9A-8
CMNFV 026195,missing other number MKVI-9A-8
CMNFV 026196,missing other number MKVI-9A-28
CMNFV 026197,missing other number MKVI-9A-28
CMNFV 026198,missing other number MKVI-9A-10
CMNFV 028430,missing other number LOC. 143
CMNFV 028437,missing other number LOC. 143
CMNFV 028442,missing other number LOC. 143
CMNFV 021437,missing other number GSC LOC. 81050
CMNFV 021448,missing other number GSC LOC. 58497
CMNFV 021455,missing other number GSC LOC. 81053
CMNFV 040270,"missing other number LOOMIS,F.B."
CMNFV 024195,missing other number LOC. 12E
CMNFV 024202,missing other number CR-73-12
CMNFV 008925,missing other number P-5408
CMNFV 008926,missing other number P-5408
CMNFV 008927,missing other number P-5408
CMNFV 008928,missing other number P-5408
CMNFV 008929,missing other number P-5408
CMNFV 008930,missing other number P-5408
CMNFV 008931,missing other number P-5408
CMNFV 008932,missing other number P-5408
CMNFV 008933,missing other number P-5408
CMNFV 008934,missing other number P-5408
CMNFV 008935,missing other number P-5408
CMNFV 008936,missing other number P-5408
CMNFV 008937,missing other number P-5408
CMNFV 008938,"missing other number P-5520, 6"
CMNFV 008939,missing other number P-5408
CMNFV 031052,missing other number P-6506
CMNFV 031053,missing other number P-6506
CMNFV 031054,missing other number P-6506
CMNFV 031055,missing other number P-6506
CMNFV 031056,missing other number P-6506
CMNFV 028474,missing object CMNFV 28474
CMNFV 027918,missing other number LOC. 94
CMNFV 031405,missing other number LOC. 27W
CMNFV 031407,missing other number LOC. 27W
CMNFV 314442,missing object CMNFV 314442
CMNFV 032799,missing other number LOC. 150
CMNFV 023398,missing other number LOC. 22
CMNFV 008520,missing other number P-1704
CMNFV 008940,missing other number P-5408
CMNFV 029480,missing other number P-7201
CMNFV 029481,missing other number P-7201
CMNFV 029482,missing other number P-7201
CMNFV 031479,missing other number LOC. 20
CMNFV 021514,missing other number GSC LOC. 69014
CMNFV 021516,missing other number GSC LOC. 69014
CMNFV 021518,missing other number GSC LOC. 69014
CMNFV 008526,missing other number P-2701
CMNFV 008528,missing other number P-1601/2
CMNFV 008531,missing other number P-2401
CMNFV 008533,missing other number P-2601?
CMNFV 040319,"missing other number P-1502, GFS-1-1915"
CMNFV 040268,missing other number P-5702
CMNFV 040269,missing other number P-5702
CMNFV 040322,missing other number NS-123
CMNFV 010072,missing other number LOC. 20
CMNFV 008941,missing other number P-5408
CMNFV 008944,missing other number GEL 7-54
CMNFV 008945,missing other number GEL 7-54
CMNFV 030516,missing other number P-7201
CMNFV 030517,missing other number P-7201
CMNFV 030518,missing other number P-7201
CMNFV 030519,missing other number P-7201
CMNFV 030520,missing other number P-7201
CMNFV 020917,missing other number LOC. 29
CMNFV 022916,missing other number LOC. 11A
CMNFV 008535,missing other number P-2401
CMNFV 008540,missing other number P-2803
CMNFV 023442,missing other number LOC.94
CMNFV 023443,missing other number LOC.94
CMNFV 023445,missing other number LOC.94
CMNFV 030541,missing other number P-7201
CMNFV 030542,missing other number P-7201
CMNFV 030543,missing other number P-7201
CMNFV 030544,missing other number P-7201
CMNFV 030545,missing other number P-7201
CMNFV 030546,missing other number P-7201
CMNFV 030574,missing other number P-7201
CMNFV 030575,missing other number P-7201
CMNFV 030577,missing other number P-7201
CMNFV 026738,missing other number LOC. 12E
CMNFV 026739,missing other number LOC. 12E
CMNFV 026740,missing other number LOC. 12E
CMNFV 026741,missing other number LOC. 12E
CMNFV 026742,missing other number LOC. 12E
CMNFV 029233,missing other number LOC. 6
CMNFV 029234,missing other number LOC. 6
CMNFV 022959,missing other number LOC. 11A
CMNFV 025049,missing other number LOC. 22
CMNFV 030566,missing other number P-7201
CMNFV 030567,missing other number P-7201
CMNFV 030568,missing other number P-7201
CMNFV 030569,missing other number P-7201
CMNFV 030570,missing other number P-7201
CMNFV 030571,missing other number P-7201
CMNFV 030572,missing other number P-7201
CMNFV 030573,missing other number P-7201
CMNFV 030579,missing other number P-6117
CMNFV 030580,missing other number P-6117
CMNFV 030581,missing other number P-6122
CMNFV 030582,missing other number P-6122
CMNFV 031612,missing other number P-5618
CMNFV 031613,missing other number P-5618
CMNFV 031614,missing other number P-5618
CMNFV 010401,missing other number P-6123
CMNFV 010402,missing other number P-6123
CMNFV 010403,missing other number P-6123
CMNFV 010404,missing other number P-6123
CMNFV 010405,missing other number P-6123
CMNFV 010406,missing other number P-6123
CMNFV 027449,missing other number LOC. 65S
CMNFV 029283,missing other number LOC. 2
CMNFV 029289,missing other number REM-6-29-75-1
CMNFV 031702,missing other number LOC. 27
CMNFV 020359,missing other number LOC. 11A
CMNFV 000348,missing other number 14-29
CMNFV 000350,missing other number 14-16
CMNFV 010391,missing other number P-6123
CMNFV 010392,missing other number P-6123
CMNFV 010393,missing other number P-6123
CMNFV 010394,missing other number P-6123
CMNFV 010395,missing other number P-6123
CMNFV 010396,missing other number P-6123
CMNFV 010397,missing other number P-6123
CMNFV 010398,missing other number P-6123
CMNFV 010399,missing other number P-6123
CMNFV 010400,missing other number P-6123
CMNFV 010407,missing other number P-6123
CMNFV 010408,missing other number P-6123
CMNFV 010409,missing other number P-6123
CMNFV 010410,missing other number P-6123
CMNFV 010414,missing other number P-6122
CMNFV 010415,missing other number P-6122
CMNFV 010416,missing other number P-6122
CMNFV 010417,missing other number P-6122
CMNFV 026219,missing other number P-6105
CMNFV 026221,missing other number P-6901
CMNFV 026222,missing other number P-6901
CMNFV 026223,missing other number P-6901
CMNFV 026224,missing other number P-6901
CMNFV 026225,missing other number P-6901
CMNFV 026226,missing other number P-6901
CMNFV 026227,missing other number P-6901
CMNFV 026228,missing other number P-6901
CMNFV 027430,missing other number LOC. 65S
CMNFV 027436,missing other number LOC. 65S
CMNFV 027437,missing other number LOC. 65S
CMNFV 027438,missing other number LOC. 65S
CMNFV 027439,missing other number LOC. 65S
CMNFV 027445,missing other number LOC. 65S
CMNFV 027446,missing other number LOC. 65S
CMNFV 027447,missing other number LOC. 65S
CMNFV 027450,missing other number LOC. 65S
CMNFV 027451,missing other number LOC. 65S
CMNFV 027452,missing other number LOC. 65S
CMNFV 027453,missing other number LOC. 65S
CMNFV 027454,missing other number LOC. 65S
CMNFV 027455,missing other number LOC. 65S
CMNFV 027456,missing other number LOC. 65S
CMNFV 027457,missing other number LOC. 65S
CMNFV 027458,missing other number LOC. 65S
CMNFV 031700,missing other number LOC. 27
CMNFV 031701,missing other number LOC. 27
CMNFV 031703,missing other number LOC. 27
CMNFV 031706,missing other number LOC. 27
CMNFV 031704,missing other number LOC. 27
CMNFV 031705,missing other number LOC. 27
CMNFV 031707,missing other number LOC. 27
CMNFV 031708,missing other number LOC. 27
CMNFV 031709,missing other number LOC. 27
CMNFV 021033,missing other number LOC. 14; LOC. 14N
CMNFV 021034,missing other number LOC. 14; LOC. 14N
CMNFV 021035,missing other number LOC. 14; LOC. 14N
CMNFV 021036,missing other number LOC. 14; LOC. 14N
CMNFV 021037,missing other number LOC. 14; LOC. 14N
CMNFV 021038,missing other number LOC. 14; LOC. 14N
CMNFV 021039,missing other number LOC. 14; LOC. 14N
CMNFV 022011,missing other number LOC. SITE 3; P-5702
CMNFV 022012,missing other number LOC. SITE 3; P-5702
CMNFV 022013,missing other number LOC. SITE 3; P-5702
CMNFV 022015,missing other number LOC. SITE 3; P-5702
CMNFV 022016,missing other number P-5702
CMNFV 010418,missing other number P-6122
CMNFV 010419,missing other number P-6122
CMNFV 010420,missing other number P-6122 A
CMNFV 030600,missing other number P-6122
CMNFV 030601,missing other number P-6122
CMNFV 030602,"missing other number P-6122, NS 327-28"
CMNFV 045351,missing other number LOC. 62
CMNFV 027459,missing other number LOC. 65S
CMNFV 027460,missing other number LOC. 65S
CMNFV 027461,missing other number LOC. 65S
CMNFV 027462,missing other number LOC. 65S
CMNFV 027463,missing other number LOC. 65S
CMNFV 027464,missing other number LOC. 65S
CMNFV 027465,missing other number LOC. 65S
CMNFV 032746,missing other number LOC. 42
CMNFV 032749,missing other number LOC. 42
CMNFV 021070,missing other number LOC. 29
CMNFV 021091,missing other number MLVL-1:18
CMNFV 022017,missing other number LOC. SITE 3; P-5702
CMNFV 022018,missing other number LOC. SITE 3; P-5702
CMNFV 022014,missing other number LOC. SITE 3; P-5702
CMNFV 008147,missing other number LOC. 50
CMNFV 023596,missing other number 646
CMNFV 023597,missing other number 696
CMNFV 023598,missing other number 696
CMNFV 023599,"missing other number LOC. 124, 677"
CMNFV 023600,missing other number 677
CMNFV 023602,missing other number 672
CMNFV 023603,missing other number 676
CMNFV 025150,missing other number LOC. 13
CMNFV 025155,missing other number LOC. 25
CMNFV 030606,missing other number P-6122
CMNFV 030603,missing other number P-6122
CMNFV 030604,missing other number P-6122
CMNFV 030605,missing other number P-6122
CMNFV 045345,missing other number LOC. 62
CMNFV 030624,missing other number P-6122
CMNFV 030625,missing other number P-6122
CMNFV 030626,missing other number P-6122
CMNFV 030627,missing other number P-6122
CMNFV 030628,missing other number P-6122
CMNFV 030629,missing other number P-6122
CMNFV 030630,missing other number P-6122
CMNFV 021084,missing other number LOC. 138
CMNFV 021307,missing other number LOC. P-5702
CMNFV 030607,missing other number P-6122
CMNFV 030608,missing other number P-6122
CMNFV 030609,missing other number P-6122
CMNFV 030610,missing other number P-6122
CMNFV 030611,missing other number P-6122
CMNFV 030612,"missing other number P-6122, NS 284-5"
CMNFV 030613,missing other number P-6122
CMNFV 030614,missing other number P-6122
CMNFV 030615,missing other number P-6122
CMNFV 030616,"missing other number P-6122, NS 312-3"
CMNFV 030617,"missing other number NS 288-9, P-6122"
CMNFV 030618,missing other number P-6122
CMNFV 030619,missing other number P-6122
CMNFV 030620,missing other number P-6122
CMNFV 030621,missing other number P-6122
CMNFV 030622,missing other number P-6122
CMNFV 030623,missing other number P-6122
CMNFV 030631,missing other number P-6122
CMNFV 030632,missing other number P-6122
CMNFV 030633,missing other number P-6122
CMNFV 030651,missing other number P-6122
CMNFV 030652,missing other number P-6122
CMNFV 030653,missing other number P-6122
CMNFV 030654,missing other number P-6122
CMNFV 030655,missing other number P-6122
CMNFV 030656,missing other number P-6122
CMNFV 030657,missing other number P-6122
CMNFV 031133,missing other number LOC. 149
CMNFV 034448,missing other number 4325-I
CMNFV 034450,missing other number 4325-H
CMNFV 034451,missing other number 4325-W
CMNFV 034452,missing other number 4325-E
CMNFV 034454,missing other number 4325-V
CMNFV 034455,missing other number 4325-X
CMNFV 034464,missing other number 4325-W
CMNFV 034467,missing other number 4325-M
CMNFV 030634,missing other number P-6122
CMNFV 030635,missing other number P-6122
