speckey,scientific_name
1079766,xxAquilegia canadensis var. hybrida
1079767,xxAquilegia canadensis var. latiuscula
1078273,xxDiplazium unilobum var. hymenodes
1078275,xxDiplazium verapax
1078277,xxDryopteris acutidens
1078280,xxDryopteris atropalustris
1078204,xxAthyrium alpestre
1078205,xxAthyrium alpestre var. americanum
1078343,xxElaphoglossum piloselloides
1078561,xxCnemidaria
1078562,xxCnemidaria horrida
1078563,xxCyathea
1078571,xxDavalliaceae
1077931,xxAdiantum pedatum subsp. subpumilum
1078598,xxHypolepis punctata
1078601,xxLindsaea
1078602,xxLindsaea ensifolia
1078603,xxLindsaea lancea
1078604,xxLindsaea portoricensis
1078605,xxLindsaea quadrangularis
1078607,xxLindsaea repens
1078609,xxLindsaea stricta
1078617,xxOdontosoria uncinella
1078620,xxPteridium aquilinum subsp. caudatum
1078621,xxPteridium aquilinum subsp. caudatum var. arachnoideum
1078623,xxPteridium aquilinum subsp. aquilinum
1080072,xxRanunculus aquatilis var. calvescens
1080073,xxRanunculus aquatilis var. capillaceus
1080075,xxRanunculus aquatilis var. harrisii
1080076,xxRanunculus aquatilis var. hispidulus
1080077,xxRanunculus aquatilis var. lalondei
1080078,xxRanunculus aquatilis var. porteri
1078624,xxPteridium aquilinum subsp. aquilinum var. champlainense
1078625,xxPteridium aquilinum subsp. aquilinum var. decompositum
1078626,xxPteridium aquilinum subsp. aquilinum var. latiusculum
1078628,xxPteridium aquilinum subsp. aquilinum var. pubescens
1078875,xxOphioglossaceae
1078877,xxBotrychium alabamense
1078655,xxGleicheniaceae
1080125,xxRanunculus flammula var. ovalis
1080135,xxRanunculus gmelinii var. gmelinii
1080136,xxRanunculus gmelinii var. hookeri
1080137,xxRanunculus gmelinii var. limosus
1078330,xxElaphoglossum firmum
1078666,xxDiplopterygium
1078671,xxGrammitidaceae
1078629,[Saccoloma
1078630,[Saccoloma domingense
1078631,[Saccoloma inaequale
1078428,xxTectaria lobata
1078433,xxThelypteris asplenioides
1078450,xxThelypteris hexagonoptera
1078475,xxThelypteris patens var. scabriuscula
1078492,xxThelypteris sancta var. portoricensis
1078108,xxArachniodes carvifolia
1078130,xxAsplenium densum
1078132,xxAsplenium enatum
1078147,xxAsplenium leucostegioides
1078170,xxAsplenium praemorsum
1078172,xxAsplenium pumilum var. anthriscifolium
1078182,xxAsplenium ruta-muraria var. ohionis
1078183,xxAsplenium ruta-muraria var. lanceolum
1078454,xxThelypteris hudsoniana
1078460,xxThelypteris limbosperma
1078499,xxThelypteris torresiana
1078221,xxCtenitis rubiginosa
1078224,xxCtenitis subincisa
1078784,xxLophosoriaceae
1077928,xxAdiantum pedatum subsp. aleuticum
1078161,xxAsplenium platyneuron var. incisum
1085313,xxMentzelia gracilis
1085333,xxMentzelia mojavensis
1085933,xxBraya henryae
1085935,xxBraya humilis subsp. arctica
1085569,xxSalix piperi
1085572,xxSalix planifolia subsp. planifolia var. monica
1086255,xxDraba nivalis var. brevicula
1087025,xxAndromeda glaucophylla
1085073,xxFrankenia grandifolia var. campestris
1085074,xxFrankenia grandifolia var. grandifolia
1085353,xxMentzelia pinetorum
1085356,xxMentzelia puberula
1085029,xxViola sagittata var. subsagittata
1085034,xxViola septentrionalis var. grisea
1085044,xxViola tracheliifolia
1085047,xxViola tracheliifolia var. tracheliifolia
1085049,xxViola triloba
1085050,xxViola triloba var. triloba
1085086,xxPiriqueta caroliniana var. glabra
1085087,xxPiriqueta caroliniana var. tomentosa
1085088,xxPiriqueta caroliniana var. viridis
1085757,xxArabis drummondii var. connexa
1085758,xxArabis drummondii var. drummondii
1084973,xxViola palmata var. dilatata
1084974,xxViola palmata var. palmata
1085619,xxSalix tracyi
1085627,xxSalix vestita f. mensalis
1085358,xxMentzelia ravenii
1085369,xxStrychnos spinosa
1085370,xxStrychnos torreyi
1085371,xxStrychnos torreyi var. acerosa
1085373,xxStrychnos tricuspis
1085374,xxStrychnos tridentata
1085975,xxCapsella bursa-pastoris var. bifida
1085976,xxCapsella bursa-pastoris var. bursa-pastoris
1085978,xxCapsella rubella
1085774,xxArabis glabra var. furcatipilis
1085775,xxArabis glabra var. glabra
1085800,xxArabis laevigata var. laevigata
1085425,xxSalix alba var. vitellina
1085338,xxMentzelia multiflora subsp. leucopetala
1086031,xxCardamine nymanii
1086036,xxCardamine parviflora var. arenicola
1086037,xxCardamine parviflora subsp. parviflora var. parviflora
1086038,xxCardamine parviflora subsp. virginica
1086044,xxCardamine pratensis var. pratensis
1085389,xxPopulus balsamifera subsp. balsamifera
1085390,xxPopulus balsamifera subsp. trichocarpa
