emu_module,emu_column,type,kind,lookup_parent,lookup_name,lookup_level,reference_module,reference_column,reference_link,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqPhotographsSlidesPrints,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqPurchasePriceAppraisalInformation,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqRecommendedBy,dtText,dkAtom,,,,eparties,SummaryData,AcqRecommendedByRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqRecommendedByRef,dtInteger,dkAtom,,,,eparties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqRecommendedDate,dtDate,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqResourcesAvailableToProcess,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqRestrictionsProvisos_tab,dtText,dkTable,,,,erights,SummaryData,AcqRestrictionsProvisosRef_tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqRestrictionsProvisosRef_tab,dtInteger,dkTable,,,,erights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqSource_tab,dtText,dkTable,,,,eparties,SummaryData,AcqSourceRef_tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqSourceRef_tab,dtInteger,dkTable,,,,eparties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqSourceRole_tab,dtText,dkTable,,Acquisition Source Role,1,,,,The role that the party played in the acquisition of the accession lot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqTreatmentReport,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmDateInserted,dtDate,dkAtom,,,,,,,Date of record insertion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmDateModified,dtDate,dkAtom,,,,,,,Date of most recent record modification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmGUIDIsPreferred_tab,dtText,dkTable,,YesNo,1,,,,Yes/No values indicating the preferred GUID. Only one GUID can be preferred.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmGUIDPreferredType,dtText,dkAtom,,GUID Type,1,,,,"The preferred GUID type, e.g. UUID4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmGUIDPreferredValue,dtText,dkAtom,,,,,,,The preferred GUID value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmGUIDType_tab,dtText,dkTable,,GUID Type,1,,,,"The GUIS type, e.g. UUID4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmGUIDValue_tab,dtText,dkTable,,,,,,,The GUID value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmImportIdentifier,dtText,dkAtom,,,,,,,User-defined identifier for the import.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmInsertedBy,dtText,dkAtom,,Admin Names,1,,,,Name of user responsible for the insertion of the record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmModifiedBy,dtText,dkAtom,,Admin Names,1,,,,Name of user responsible for the most recent modification of the record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmOriginalData,dtText,dkAtom,,,,,,,"All or part of the original data available to EMu from another source when it was first installed. The legacy data can be used to store the entire data set, or data that did not fit into a specific field in EMu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmPublishWebNoPassword,dtText,dkAtom,,,,,,,Yes or no response: are the integrity and security of the data sufficient for it be published on the Internet?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmPublishWebNoPasswordFlag,dtText,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmPublishWebPassword,dtText,dkAtom,,,,,,,Yes or no response: are the integrity and security of the data sufficient for it be published on the Intranet?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmPublishWebPasswordFlag,dtText,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmSystemIdentifier,dtText,dkAtom,,,,,,,System generated identifier for the import.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmTimeInserted,dtTime,dkAtom,,,,,,,Time of record insertion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdmTimeModified,dtTime,dkAtom,,,,,,,Time of most recent record modification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdtAuditRef_tab,dtInteger,dkTable,,,,eaudit,AudKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdtDate_tab,dtDate,dkTable,,,,eaudit,AudDate,AdtAuditRef_tab,Audit trail of the dates when an operation was performed on the record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdtOperation_tab,dtText,dkTable,,Audit Operation,1,eaudit,AudOperation,AdtAuditRef_tab,Audit trail of the operations (insert/update/delete) performed on the record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdtTime_tab,dtTime,dkTable,,,,eaudit,AudTime,AdtAuditRef_tab,Audit trail of the times when the operations were performed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AdtUser_tab,dtText,dkTable,,Audit User,1,eaudit,AudUser,AdtAuditRef_tab,Audit trail of the users who have performed an operation on the record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AppApprovedBy_tab,dtText,dkTable,,,,eparties,SummaryData,AppApprovedByRef_tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AppApprovedByRef_tab,dtInteger,dkTable,,,,eparties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,CosProcessedBy_tab,dtText,dkTable,,,,eparties,SummaryData,CosProcessedByRef_tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,CosProcessedByRef_tab,dtInteger,dkTable,,,,eparties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,CosProcessingTimeHours_tab,dtFloat,dkTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,CosResourcesAccompanyingMaterial_tab,dtText,dkTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,CosResourceValue_tab,dtFloat,dkTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,CosTotalResourceValue,dtFloat,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,ExtendedData,dtText,dkAtom,,,,,,,A multi-line summary of the salient parts of the current record. The extended data is automatically constructed by EMu when the record is saved. It is displayed along side of the thumbnail image when the persistent image option is selected in Show Detail mode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,FinCostCode_tab,dtText,dkTable,,,,,,,Internally assigned number for costs associated with accession lot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,FinCostsIncurred_tab,dtCurrency,dkTable,,,,,,,The amount of the cost concerned (in local currency).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,FinDescriptionOfCost_tab,dtText,dkTable,,,,,,,Explanation of any costs associated with accession lot (in list form).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
